name,product_title,price,product_url,image_url,image_file
pitcher,"Glaver's Glass Water Pitcher with Spout, 48 Ounces",NA,https://www.amazon.com/Glass-Water-Pitcher-Spout-Crystal-Clear/dp/B09M17S5FB,https://m.media-amazon.com/images/I/71sfe7hkjrL._AC_SL1500_.jpg,images/pitcher.jpg
carafe,"NETANY Glass Carafe with Lid, 1 Liter, Set of 4",NA,https://www.amazon.com/NETANY-Carafe-Beverage-Pitcher-Lemonade/dp/B099RL5XXP,https://m.media-amazon.com/images/I/71vnOPG4h+S._AC_SL1500_.jpg,images/carafe.jpg
drinking_tumbler,"Libbey Heavy Base Drinking Glasses Set of 8, 15.5 Oz",34.99,https://www.amazon.com/Libbey-Heavy-Base-Tumbler-Glasses/dp/B00O8ZTWQQ,https://m.media-amazon.com/images/I/61lrLVk7q4L._AC_SL1500_.jpg,images/drinking_tumbler.jpg
coffee_grinder,"JavaPresse Manual Stainless Steel Coffee Grinder, Conical Burr",39.99,https://www.amazon.com/JavaPresse-Grinder-Conical-Brushed-Stainless/dp/B013R3Q7B2,https://m.media-amazon.com/images/I/61w4BRgEnGL._AC_SL1500_.jpg,images/coffee_grinder.jpg
kitchen_scale,"Amazon Basics Digital Kitchen Scale with LCD, up to 11 lb",9.89,https://www.amazon.com/AmazonBasics-Stainless-Digital-Batteries-Included/dp/B06X9NQ8GX,https://m.media-amazon.com/images/I/71eiII6MS-L._AC_SL1500_.jpg,images/kitchen_scale.jpg
slotted_spoon,"All-Clad Stainless Steel Slotted Spoon, 13-Inch",29.95,https://www.amazon.com/All-Clad-Stainless-Slotted-Kitchen-13-Inch/dp/B00005AL7I,https://m.media-amazon.com/images/I/71O54-wVU0L._AC_SL1500_.jpg,images/slotted_spoon.jpg
spaghetti_server,Newness 304 Stainless Steel Spaghetti Server / Pasta Fork,NA,https://www.amazon.com/Spaghetti-Newness-Stainless-Steel-Comfortable/dp/B074C5RCTG,https://m.media-amazon.com/images/I/412I823VlaL._AC_SL1001_.jpg,images/spaghetti_server.jpg
meat_tenderizer,"KITEXPERT Meat Tenderizer Hammer, Dual-side Mallet",NA,https://www.amazon.com/KITEXPERT-Tenderizer-Comfortable-Grip-Dual-side-Tenderizing/dp/B09QMFY1QC,https://m.media-amazon.com/images/I/71Q8w1YP2dL._AC_SL1500_.jpg,images/meat_tenderizer.jpg
mortar_and_pestle,Priority Chef Heavy Duty 1.5 Cup Granite Mortar and Pestle Set,36.24,https://www.amazon.com/Natural-Granite-Guacamole-Grinder-Crusher/dp/B09DD44BFD,https://m.media-amazon.com/images/I/81Pw-swq55L._SL1500_.jpg,images/mortar_and_pestle.jpg
nutcracker,Handy Housewares Metal Nutcracker / Seafood Tool,7.39,https://www.amazon.com/Metal-Nutcracker-Seafood-Tool-Lobster/dp/B08ZMCPWDM,https://m.media-amazon.com/images/I/51B64SJIoEL._AC_SL1126_.jpg,images/nutcracker.jpg
